DOI,SBET/Specific surface area/m2g-1,Average pore size/nm,Total pore volume/cm3g-1,ID,IG,ID/IG,2¦È/¡ã,d002/nm,La/nm,Lc/nm,La/Lc,first discharge/mAh g-1,first charge/mAh g-1,ICE/%,Retention rate of 100 capacity cycles/%, capacity/mAh/g,Rsei/¦¸,Re/,Rf/,Rs/¦¸,Rct /¦¸,i0/mAcm-2,DLi+/cm2s-1
,160.4395356,6.4,0.504,661.0483278,1374.905822,0.747782483,10.15229801,0.3421,14.3,4.59,2.203640566,658.3745751,1014.614761,75.2801507,88.1069176,229.1014905,29.44544884,5.12,8.53,7.240871388,27.38,1.56,6.16E-14
,140.3502943,6.9,0.361,661.0483278,1374.905822,0.757309769,10.15229801,0.3409,22.36,9.56,2.203640566,651.4937644,970.4618068,75.35109694,88.1069176,323.8087742,16.88950847,4.96,7.27,3.172651481,21.44,2,2.25E-14
https://doi.org/10.1002/adfm.201706294,163.7343315,5.3,0.96,661.0483278,1374.905822,0.762571679,-4.175440287,1.190531092,124.0460456,31.71435969,4.032059642,777.9189746,999.0642416,75.18301983,86.53059674,558.6325252,17.59546998,25.57428571,44.58333333,6.962297678,12.61791286,0.818469909,1.04E-06
,163.9558937,7.2,2.03,661.0483278,1374.905822,0.766881715,-4.175440287,1.347263994,154.7206675,32.75356923,6.223450482,790.9915635,1006.459829,75.02296515,84.83561132,651.8053889,22.68585408,25.57428571,44.58333333,11.49807589,31.00626671,0.818469909,1.04E-06
,580,5.4,1.04,661.0483278,1374.905822,0.766815369,-4.175440287,1.179781031,124.0460456,31.71435969,4.032059642,786.1360702,999.0642416,74.87539178,87.1162811,651.8053889,17.59546998,25.57428571,44.58333333,12.98013416,37.79266603,0.818469909,1.04E-06
https://doi.org/10.1016/j.jallcom.2019.04.300,18.6,15.74738281,0.028,661.0483278,1374.905822,0.771343355,-5.977411867,2.001882412,83.65627398,26.7780057,2.254311858,1188.93487,1076.403773,74.73676035,71.08600722,392.7747037,9.453784867,25.57428571,44.58333333,3.683452967,69.4566344,0.818469909,1.04E-06
,134.4599095,8.622051969,1.007,661.0483278,1374.905822,0.776527966,-4.175440287,1.111243352,121.0755275,30.15123385,4.032059642,790.9915635,999.0642416,75.03368036,83.36649278,615.7929533,9.453784867,25.57428571,44.58333333,3.530250006,-20.56242596,0.818469909,1.04E-06
,125.6726302,9.538675506,1.072,661.0483278,1374.905822,0.782518513,-4.175440287,1.144178035,121.0755275,26.7780057,4.032059642,790.9915635,1006.459829,74.85961426,72.63371965,825.308519,9.453784867,25.57428571,44.58333333,17.34837212,21.87303646,0.818469909,1.04E-06
,122.0368337,9.820026042,2.871,661.0483278,1374.905822,0.789407845,-4.175440287,1.311660998,151.7501494,27.81721523,6.223450482,790.9915635,1006.459829,74.69345759,70.22469997,1059.875958,9.453784867,25.57428571,44.58333333,18.42935666,43.79259759,0.818469909,1.04E-06
https://doi.org/10.1016/j.rineng.2024.103273,148.7018699,2.12,0.3482,661.0483278,1374.905822,0.796855603,26.353,0.3378,81.42855385,25.22757363,3.297554071,751.7222828,1093.741624,74.53966709,94.74862711,190.2,6.81394111,25.57428571,44.58333333,5.751637287,512.2,0.818469909,1.04E-06
,146.577823,2.2,0.4131,661.0483278,1374.905822,0.789129127,26.471,0.3363,73.34410912,25.22757363,2.44060892,751.7222828,1093.741624,74.39470124,89.85796965,255.4,6.81394111,25.57428571,44.58333333,6.808889144,173.8,0.818469909,1.04E-06
,146.577823,2.09,0.4024,661.0483278,1374.905822,0.779110597,26.524,0.3357,73.34410912,25.22757363,2.44060892,751.7222828,1093.741624,74.19084696,89.85796965,289.9,6.81394111,25.57428571,44.58333333,6.322090091,103.2,0.818469909,1.04E-06
,146.577823,2.21,0.436,661.0483278,1374.905822,0.772070397,26.526,0.3356,73.34410912,25.22757363,2.44060892,747.8265506,1093.741624,73.98834468,89.85796965,330.3,6.81394111,25.57428571,44.58333333,6.257769849,87.18,0.818469909,1.04E-06
,151.5348071,2.01,0.4035,661.0483278,1374.905822,0.767433597,26.52,0.3357,81.42855385,25.22757363,3.297554071,751.7222828,1093.741624,73.77826726,94.74862711,271.3,6.81394111,25.57428571,44.58333333,6.414586821,692.3,0.818469909,1.04E-06
https://doi.org/10.1016/j.carbon.2020.04.003,20.60790741,13.55435816,0.33075016,83,33,3.6,-5.977411867,4.071144243,83.65627398,26.7780057,3.700329391,808.6022231,944.7289531,73.5752003,53.64043433,841.5773541,9.453784867,25.57428571,44.58333333,8.643281231,185.343623,0.818469909,1.04E-06
,20.60790741,14.10032815,0.33075016,116,40,4.86,-5.977411867,4.320622648,83.65627398,26.7780057,3.700329391,848.2282496,944.7289531,73.37754329,53.64043433,841.5773541,9.453784867,25.57428571,44.58333333,8.643281231,185.343623,0.818469909,1.04E-06
,21.69896211,8.663893199,-0.111304472,661.0483278,1374.905822,0.35,39.3496102,0.929829125,100.481463,29.11895689,3.212523225,909.9819856,1225.871778,84.85498382,83.39204163,371,5.5,3.426842618,12.1,2.42E-08,7.24,0.818469909,1.04E-06
,21.69896211,8.663893199,-0.111304472,661.0483278,1374.905822,0.33,41.70058171,1.240365144,109.1906879,35.60574295,3.212523225,909.9819856,1237.681243,97.50588949,77.98007247,340,6.3,11.68977456,12.5,2.53E-08,6.39,0.818469909,1.04E-06
,22.85922784,10.16075643,0.047963976,661.0483278,1374.905822,0.29,41.70058171,1.009246732,109.1906879,32.23251479,3.212523225,765.3153392,1237.681243,61.19331016,76.42780396,343,9.2,0.445561351,13.1,1.60E-08,76.58985674,0.818469909,1.04E-06
,21.68630571,8.663893199,-0.111304472,661.0483278,1374.905822,0.31,41.70058171,1.240365144,109.1906879,35.60574295,3.212523225,909.9819856,1237.681243,97.50588949,77.98007247,330,9.2,6.731011649,13.7,1.04E-08,233,0.818469909,5.20E-10
